Group,Affiliation,Year,Vaccine,Target,Vaccinated,Coverage,Unvaccinated
Global,Global,1980,bcg,118869073,18195486,15,100673587
Global,Global,1980,dtp1,115990758,36302200,31,79688558
Global,Global,1980,mcv1,115990758,20112131,17,95878627
Global,Global,1980,pol3,115990758,26044480,22,89946278
Global,Global,1980,rcv1,115990758,3484807,3,112505951
Global,Global,1980,dtp3,115990758,24412665,21,91578093
Global,Global,1981,bcg,120692994,25551709,21,95141285
Global,Global,1981,dtp1,117979001,42939105,36,75039896
Global,Global,1981,dtp3,117979001,28798352,24,89180649
Global,Global,1981,mcv1,117979001,23682807,20,94296194
Global,Global,1981,pol3,117979001,28041620,24,89937381
Global,Global,1981,rcv1,117979001,4049758,3,113929243
Global,Global,1982,bcg,122809323,28131850,23,94677473
Global,Global,1982,dtp3,120250647,31749989,26,88500658
Global,Global,1982,mcv1,120250647,25388784,21,94861863
Global,Global,1982,dtp1,120250647,47034286,39,73216361
Global,Global,1982,pol3,120250647,50217195,42,70033452
Global,Global,1982,rcv1,120250647,4398465,4,115852182
Global,Global,1983,bcg,124969461,46104397,37,78865064
Global,Global,1983,dtp3,122653829,47621076,39,75032753
Global,Global,1983,dtp1,122653829,69261452,56,53392377
Global,Global,1983,rcv1,122653829,5350796,4,117303033
Global,Global,1983,pol3,122653829,54145525,44,68508304
Global,Global,1983,mcv1,122653829,46328144,38,76325685
Global,Global,1984,bcg,127214645,56330350,44,70884295
Global,Global,1984,dtp3,125044962,56524392,45,68520570
Global,Global,1984,pol3,125044962,59878336,48,65166626
Global,Global,1984,mcv1,125044962,52657278,42,72387684
Global,Global,1984,rcv1,125044962,5929076,5,119115886
Global,Global,1984,dtp1,125044962,78552522,63,46492440
Global,Global,1985,bcg,129180402,63243503,49,65936899
Global,Global,1985,pol3,127210461,66542737,52,60667724
Global,Global,1985,dtp3,127210461,63171984,50,64038477
Global,Global,1985,dtp1,127210461,85807425,67,41403036
Global,Global,1985,hepb3,127210461,0,0,127210461
Global,Global,1985,mcv1,127210461,60948050,48,66262411
Global,Global,1985,rcv1,127210461,6480233,5,120730228
Global,Global,1986,bcg,130750242,68971392,53,61778850
Global,Global,1986,dtp3,128931742,67302333,52,61629409
Global,Global,1986,pol3,128931742,65795591,51,63136151
Global,Global,1986,rcv1,128931742,6829410,5,122102332
Global,Global,1986,dtp1,128931742,90507268,70,38424474
Global,Global,1986,hepb3,128931742,0,0,128931742
Global,Global,1986,mcv1,128931742,60608683,47,68323059
Global,Global,1987,bcg,131757227,80912600,61,50844627
Global,Global,1987,dtp1,130097073,96644264,74,33452809
Global,Global,1987,hepb3,130097073,0,0,130097073
Global,Global,1987,dtp3,130097073,72590495,56,57506578
Global,Global,1987,rcv1,130097073,6741146,5,123355927
Global,Global,1987,pol3,130097073,74585716,57,55511357
Global,Global,1987,mcv1,130097073,70200803,54,59896270
Global,Global,1988,bcg,132143546,88347551,67,43795995
Global,Global,1988,dtp3,130650714,83445271,64,47205443
Global,Global,1988,mcv1,130650714,82113172,63,48537542
Global,Global,1988,dtp1,130650714,103671122,79,26979592
Global,Global,1988,hepb3,130650714,0,0,130650714
Global,Global,1988,pol3,130650714,84930237,65,45720477
Global,Global,1988,rcv1,130650714,8039857,6,122610857
Global,Global,1989,bcg,131915185,93119222,71,38795963
Global,Global,1989,dtp3,130598206,89281162,68,41317044
Global,Global,1989,pol3,130598206,92032105,70,38566101
Global,Global,1989,dtp1,130598206,108962412,83,21635794
Global,Global,1989,mcv1,130598206,88820903,68,41777303
Global,Global,1989,rcv1,130598206,9398343,7,121199863
